exp	description	val_bpb	peak_mem_gb	tok_sec	mfu	steps	status	notes
exp0	baseline (no modifications)	0.963946	15.5	57961	17.9	530	baseline	depth=8, Apple M5 Max
exp1	Reduce TOTAL_BATCH_SIZE from default to increase gradient steps within time budget	0.000000	0.0	0	0.0	0	crash	training crashed or timed out
exp2	Reduce DEVICE_BATCH_SIZE from default to increase gradient steps within time budget	0.962523	14.5	58294	18.0	535	keep	The previous attempt to reduce TOTAL_BATCH_SIZE crashed, but reducing DEVICE_BAT
exp3	Reduce DEVICE_BATCH_SIZE further to increase gradient steps within time budget	1.002385	14.5	46317	14.2	425	discard	The previous reduction in DEVICE_BATCH_SIZE improved val_bpb from 0.9639 to 0.96
exp4	Increase MATRIX_LR from 0.0435 to 0.055	1.015920	15.5	42957	13.2	395	discard	The current best result came from reducing device batch size to get more gradien
exp5	Increase EMBEDDING_LR from 0.4 to 0.5	1.000048	15.5	47270	14.5	432	discard	The embedding layer often needs higher learning rates to adapt quickly, and with
exp6	Reduce WEIGHT_DECAY from 0.2 to 0.1	0.982251	15.5	52333	16.1	479	discard	The current best experiment (exp2) achieved lower val_bpb by reducing device bat
exp7	Increase WARMUP_RATIO from 0.0 to 0.1	0.984828	15.5	52561	16.2	483	discard	The current best configuration has no warmup phase, which might cause training i
exp8	Reduce WARMDOWN_RATIO from 0.5 to 0.3	0.985565	15.5	52246	16.1	479	discard	The current best experiment (exp2) achieved better val_bpb with more gradient st
exp9	Increase SCALAR_LR from 0.4 to 0.5	1.027992	15.5	40653	12.4	371	discard	The scalar parameters (layer norms, biases) may benefit from a higher learning r
exp10	Reduce MATRIX_LR from 0.0435 to 0.035	1.028265	15.5	39973	12.2	366	discard	The current best experiment (exp2) achieved good performance by increasing gradi
exp11	Increase DEPTH from default to add model capacity	1.157548	25.0	19326	13.2	178	discard	The current best result came from increasing gradient steps, but we haven't expl
exp12	Reduce UNEMBEDDING_LR from 0.0041 to 0.003	1.045538	15.5	35904	10.9	329	discard	The unembedding layer learning rate hasn't been tuned yet and may be too high. S
exp13	Increase MATRIX_LR from 0.0435 to 0.048	1.026769	15.5	40293	12.3	368	discard	The current best experiment (exp2) uses a smaller device batch size for more gra
exp14	Reduce MATRIX_LR from 0.0435 to 0.04	1.026646	15.5	40666	12.5	373	discard	The current best experiment (exp2) achieved 0.9625 val_bpb with reduced batch si
exp15	Increase MATRIX_LR from 0.0435 to 0.045	1.011874	15.5	43956	13.5	403	discard	The current best result (exp2) achieved 0.9625 val_bpb with reduced batch size f
exp16	Increase MATRIX_LR from 0.0435 to 0.0425	0.982020	15.5	52982	16.3	484	discard	The current best experiment (exp2) has MATRIX_LR at 0.0435. Several experiments 
exp17	Reduce MATRIX_LR from 0.0435 to 0.042	0.977448	15.5	54666	16.8	499	discard	Previous experiments show that smaller MATRIX_LR values around 0.0425 (exp16) an
exp18	Reduce MATRIX_LR from 0.0435 to 0.041	0.976094	15.5	54648	16.9	502	discard	The recent experiments show a clear trend where reducing MATRIX_LR from the base
exp19	Reduce MATRIX_LR from 0.0435 to 0.04075	0.976332	15.5	55296	17.0	506	discard	The experiments show a clear pattern where reducing MATRIX_LR below 0.0435 consi
exp20	Reduce MATRIX_LR from 0.0435 to 0.04050	0.970670	15.5	56924	17.6	523	discard	The current best result (exp2, val_bpb=0.9625) uses the baseline MATRIX_LR of 0.
exp21	Reduce MATRIX_LR from 0.0435 to 0.04025	0.980926	15.5	53262	16.4	488	discard	The recent experiments show a clear trend that reducing MATRIX_LR below 0.0435 i
exp22	Reduce MATRIX_LR from 0.0435 to 0.040	0.983148	15.5	52649	16.2	481	discard	The experiments show a clear trend that reducing MATRIX_LR below 0.0435 consiste
exp23	Reduce MATRIX_LR from 0.0435 to 0.0395	0.973615	15.5	55611	17.2	511	discard	The experiments show a clear trend that reducing MATRIX_LR from 0.0435 improves 
exp24	Reduce MATRIX_LR from 0.0435 to 0.039	0.968867	15.5	57589	17.7	527	discard	The experiments show a clear trend that reducing MATRIX_LR below 0.0435 generall
exp25	Reduce MATRIX_LR from 0.0435 to 0.0385	0.968718	15.5	57237	17.7	526	discard	The history shows a clear trend that reducing MATRIX_LR below 0.0435 improves va
exp26	Reduce MATRIX_LR from 0.0435 to 0.038	0.970625	15.5	56591	17.5	519	discard	The trend shows consistent improvement as MATRIX_LR decreases from 0.0435 toward
exp27	Reduce MATRIX_LR from 0.0435 to 0.0375	0.969915	15.5	56924	17.5	521	discard	The trend shows consistent improvement as MATRIX_LR decreases from 0.0435 toward
exp28	Reduce MATRIX_LR from 0.0435 to 0.037	0.968290	15.5	57570	17.8	528	discard	The experiments show a clear pattern where reducing MATRIX_LR below 0.0435 consi
exp29	Reduce MATRIX_LR from 0.0435 to 0.0365	0.969544	15.5	57551	17.7	527	discard	The trend shows that reducing MATRIX_LR consistently improves val_bpb, with exp2
exp30	Reduce MATRIX_LR from 0.0435 to 0.036	0.966430	15.5	57218	17.7	525	discard	The MATRIX_LR reduction experiments show a clear trend of improvement as we redu
exp31	Reduce MATRIX_LR from 0.0435 to 0.0355	0.974313	15.5	54242	16.7	498	discard	The trend shows MATRIX_LR reductions consistently improving val_bpb, with exp28 
exp32	Reduce MATRIX_LR from 0.0435 to 0.035	0.978890	15.5	53928	16.6	493	discard	The history shows a clear trend where reducing MATRIX_LR below 0.0435 generally 
exp33	Reduce MATRIX_LR from 0.0435 to 0.0345	0.972833	15.5	54648	16.9	502	discard	The extensive MATRIX_LR search shows a clear trend - lower values perform better
exp34	Reduce MATRIX_LR from 0.0435 to 0.034	0.968662	15.5	56591	17.5	519	discard	The pattern shows that reducing MATRIX_LR consistently improves val_bpb, with th
exp35	Reduce MATRIX_LR from 0.0435 to 0.0335	0.965703	15.5	57628	17.8	529	discard	The MATRIX_LR sweep shows a clear trend where lower values generally improve val
exp36	Reduce MATRIX_LR from 0.0435 to 0.033	0.966337	15.5	57609	17.8	527	discard	The systematic exploration of MATRIX_LR values shows a clear trend: lower values
exp37	Reduce MATRIX_LR from 0.0435 to 0.0325	0.965500	15.5	57570	17.8	529	discard	The systematic search around MATRIX_LR shows a clear trend - lower values consis
exp38	Reduce MATRIX_LR from 0.0435 to 0.032	0.967288	15.5	56962	17.6	522	discard	The trend shows that reducing MATRIX_LR continues to improve val_bpb, with exp37
exp39	Reduce MATRIX_LR from 0.0435 to 0.031	0.967223	15.5	57647	17.8	529	discard	The systematic exploration of MATRIX_LR shows a clear trend toward improvement a
exp40	Reduce MATRIX_LR from 0.0435 to 0.030	0.965730	15.5	57647	17.8	529	discard	The systematic exploration of MATRIX_LR values shows a clear trend: lower values
exp41	Increase HEAD_DIM from 128 to 144	0.997728	16.3	46890	17.2	431	discard	After exhaustively searching MATRIX_LR values, I need to explore a different dir
exp42	Reduce MATRIX_LR from 0.0435 to 0.029	0.974520	15.5	54575	16.8	501	discard	The MATRIX_LR sweep shows a clear trend - lower values consistently improve val_
exp43	Reduce MATRIX_LR from 0.0435 to 0.028	0.977252	15.5	53577	16.5	492	discard	The extensive search around MATRIX_LR shows a clear trend: lower values generall
exp44	Change WINDOW_PATTERN from "SSSL" to "SSSS"	0.968681	15.5	57000	16.9	522	discard	After exhaustive MATRIX_LR tuning showed minimal improvements, I need to try a d
exp45	Change WINDOW_PATTERN from "SSSL" to "SSL"	0.962940	15.5	57980	18.6	531	discard	The experiment history shows extensive MATRIX_LR tuning has plateaued around 0.9
exp46	Change WINDOW_PATTERN from "SSSL" to "SL"	0.965116	15.5	57256	19.0	525	discard	The trend shows that shorter window patterns are improving performance (exp45 wi
exp47	Change WINDOW_PATTERN from "SSSL" to "S"	0.967676	15.5	57256	17.0	526	discard	The pattern progression SSL (0.9629) → SL (0.9651) → baseline SSSL (0.9639) sugg
exp48	Reduce EMBEDDING_LR from 0.4 to 0.35	0.967524	15.5	58236	17.9	533	discard	The extensive MATRIX_LR sweep shows diminishing returns and no clear winner belo
exp49	Reduce EMBEDDING_LR from 0.4 to 0.3	0.969016	15.5	57942	17.9	532	discard	The current best result (exp2) achieved 0.9625 val_bpb with reduced device batch
exp50	Reduce SCALAR_LR from 0.4 to 0.35	0.967082	15.5	57903	17.9	531	discard	The current best result came from reducing device batch size, which increased gr
exp51	Reduce SCALAR_LR from 0.4 to 0.3	0.967603	15.5	57980	17.9	532	discard	The experiment history shows extensive exploration of MATRIX_LR with diminishing
exp52	Increase UNEMBEDDING_LR from 0.0041 to 0.005	0.970499	15.5	55592	17.2	511	discard	After extensive exploration of MATRIX_LR (exps 4,10,13-43) and other hyperparame
exp53	Increase UNEMBEDDING_LR from 0.0041 to 0.0045	0.972335	15.5	55629	17.2	510	discard	The current best experiment has val_bpb of 0.9625. I've extensively explored MAT
exp54	Change ADAM_BETAS from (0.8, 0.95) to (0.9, 0.95)	0.981000	15.5	55278	17.0	506	discard	After exhaustively exploring MATRIX_LR and other learning rates without improvem
exp55	Change ADAM_BETAS from (0.8, 0.95) to (0.85, 0.95)	0.968801	15.5	58236	18.0	534	discard	The last experiment showed that increasing beta1 from 0.8 to 0.9 hurt performanc
exp56	Change ADAM_BETAS from (0.8, 0.95) to (0.75, 0.95)	0.965570	15.5	58236	18.0	535	discard	The experiments have exhaustively explored MATRIX_LR values and other hyperparam
exp57	Change ADAM_BETAS from (0.8, 0.95) to (0.7, 0.95)	0.964145	15.5	58313	18.0	535	discard	We've systematically explored MATRIX_LR and found minimal gains. The ADAM_BETAS 
exp58	Change ADAM_BETAS from (0.8, 0.95) to (0.65, 0.95)	0.963999	15.5	58313	18.0	534	discard	The trend in experiments 54-57 shows that reducing the first beta value from 0.9
exp59	Change ADAM_BETAS from (0.8, 0.95) to (0.6, 0.95)	0.963467	15.5	58588	18.1	536	discard	The recent experiments show a clear trend: reducing the first Adam beta consiste
